panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	MP_tpm	HP_tpm	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	Bs_As log2ratio
variable (1155)	Zm00001d012831	6.9	7.5	6.2	5.5	4.8	4.6	6.5	7.5	0.074	0.060	0.143	0.278	0.306	0.265	variable	-0.432356344
variable (1155)	Zm00001d012840	38.3	24.8	32.4	22.8	37.1	14.9	23.8	24.8	0.082	0.095	0.202	0.209	0.406	0.251	variable	-0.1255854016
variable (1155)	Zm00001d012846	13.2	12.6	13.3	9.7	10.2	7.9	11.1	12.6	0.068	0.081	0.105	0.147	0.111	0.184	variable	-0.3774773934
variable (1155)	Zm00001d012858	44.0	46.1	49.9	30.1	56.9	23.3	38.1	46.1	0.034	0.069	0.375	0.307	0.148	0.262	variable	-0.6138076797
variable (1155)	Zm00001d012865	30.6	17.4	14.1	17.2	26.9	17.2	17.3	17.4	0.075	0.073	0.113	0.097	0.171	0.093	variable	-0.01617768521
variable (1155)	Zm00001d012880	9.3	11.1	7.0	7.6	1.8	2.9	9.4	11.1	0.048	0.080	0.123	0.149	0.163	0.105	variable	-0.5391902991
variable (1155)	Zm00001d012933	24.4	37.9	13.3	19.2	13.2	13.3	28.5	37.9	0.025	0.039	0.397	0.156	0.266	0.126	variable	-0.9850289637
variable (1155)	Zm00001d012966	315.3	192.7	289.8	266.1	246.6	135.9	229.4	266.1	0.020	0.062	0.144	0.079	0.069	0.024	variable	0.4659276093
variable (1155)	Zm00001d013094	7.6	7.4	6.7	9.7	4.2	5.2	8.6	9.7	0.055	0.096	0.107	0.139	0.152	0.112	variable	0.3897119747
variable (1155)	Zm00001d013108	195.0	115.4	137.3	84.7	12.6	18.9	100.1	115.4	0.094	0.082	0.175	0.376	0.409	0.372	variable	-0.4461358921
variable (1155)	Zm00001d013360	17.8	12.2	13.6	18.6	7.2	24.7	15.4	18.6	0.092	0.076	0.170	0.130	0.243	0.194	variable	0.6035094517
variable (1155)	Zm00001d013411	3.4	38.6	12.1	47.7	5.4	54.4	43.1	47.7	0.045	0.032	0.247	0.189	0.078	0.094	variable	0.3060836549
variable (1155)	Zm00001d013441	29.0	27.6	31.5	30.4	7.8	10.6	29.0	30.4	0.062	0.076	0.132	0.106	0.145	0.092	variable	0.1429843866
variable (1155)	Zm00001d013470	27.4	14.9	16.9	7.6	7.2	4.1	11.3	14.9	0.093	0.093	0.467	0.090	0.438	0.103	variable	-0.962021677
variable (1155)	Zm00001d013522	36.6	38.0	15.0	50.0	8.4	16.7	44.0	50.0	0.046	0.092	0.207	0.221	0.103	0.150	variable	0.3929798966
variable (1155)	Zm00001d013597	93.0	71.7	184.8	83.2	377.6	53.6	77.4	83.2	0.073	0.083	0.266	0.165	0.112	0.066	variable	0.2143637548
variable (1155)	Zm00001d013620	41.3	25.6	18.4	24.3	20.3	21.8	25.0	25.6	0.070	0.099	0.103	0.218	0.123	0.201	variable	-0.07792842432
variable (1155)	Zm00001d013626	15.2	11.4	18.6	25.5	13.2	8.0	18.5	25.5	0.094	0.065	0.180	0.093	0.155	0.143	variable	1.156821306
variable (1155)	Zm00001d013683	27.2	13.6	16.6	20.1	12.0	19.1	16.8	20.1	0.061	0.068	0.287	0.083	0.230	0.052	variable	0.568134821
variable (1155)	Zm00001d013699	68.2	34.6	107.6	23.6	180.7	10.6	29.1	34.6	0.050	0.100	0.208	0.225	0.129	0.194	variable	-0.5549357451
variable (1155)	Zm00001d013730	11.4	11.3	21.1	18.1	7.2	2.1	14.7	18.1	0.075	0.093	0.352	0.185	0.244	0.147	variable	0.6747290494
variable (1155)	Zm00001d013778	15.1	13.9	15.8	10.6	23.9	9.4	12.2	13.9	0.084	0.060	0.109	0.318	0.281	0.338	variable	-0.3943910925
variable (1155)	Zm00001d013858	21.9	8.2	19.2	7.9	1.8	10.2	8.0	8.2	0.079	0.079	0.188	0.114	0.094	0.045	variable	-0.0533408541
variable (1155)	Zm00001d013859	42.1	41.3	34.9	27.0	16.2	9.6	34.2	41.3	0.071	0.077	0.138	0.109	0.142	0.106	variable	-0.6136556737
variable (1155)	Zm00001d013984	15.8	17.3	11.7	24.0	27.5	20.4	20.7	24.0	0.080	0.097	0.159	0.142	0.141	0.128	variable	0.4718899052
variable (1155)	Zm00001d013993	277.3	190.0	305.5	152.6	295.0	74.5	171.3	190.0	0.035	0.064	0.336	0.255	0.086	0.182	variable	-0.3157253172
variable (1155)	Zm00001d014026	16.3	18.0	19.9	10.7	22.7	5.5	14.4	18.0	0.035	0.087	0.129	0.203	0.324	0.202	variable	-0.7504357691
variable (1155)	Zm00001d014058	44.3	23.1	32.8	40.7	16.8	25.2	31.9	40.7	0.048	0.050	0.488	0.232	0.268	0.087	variable	0.8208208396
variable (1155)	Zm00001d014079	36.1	25.5	17.5	25.0	15.0	27.8	25.2	25.5	0.069	0.084	0.169	0.104	0.097	0.085	variable	-0.02971543959
variable (1155)	Zm00001d014085	21.0	14.7	22.0	22.4	43.1	9.6	18.6	22.4	0.098	0.083	0.129	0.109	0.124	0.105	variable	0.606082324
variable (1155)	Zm00001d014255	41.9	25.0	30.4	23.0	28.1	15.8	24.0	25.0	0.065	0.083	0.241	0.126	0.158	0.064	variable	-0.118864744
variable (1155)	Zm00001d014327	9.7	8.3	11.6	10.4	7.8	6.1	9.3	10.4	0.090	0.077	0.182	0.209	0.135	0.162	variable	0.3382694943
