panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	MP_tpm	HP_tpm	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	Bs_As log2ratio
conserved (2189)	Zm00001d014321	48.8	34.5	33.9	31.4	22.1	51.1	32.9	34.5	0.036	0.079	0.054	0.058	0.072	0.054	conserved	-0.137021747
conserved (2189)	Zm00001d014341	12.2	197.8	12.0	127.7	1.2	147.5	162.8	197.8	0.022	0.054	0.063	0.050	0.042	0.043	conserved	-0.6311816718
conserved (2189)	Zm00001d014344	34.1	15.9	31.9	14.3	34.1	10.6	15.1	15.9	0.076	0.087	0.028	0.045	0.058	0.093	conserved	-0.1553809041
conserved (2189)	Zm00001d014382	21.8	16.7	25.3	17.6	13.8	11.1	17.2	17.6	0.097	0.082	0.089	0.067	0.147	0.088	conserved	0.07610509941
conserved (2189)	Zm00001d014413	25.3	20.1	35.6	19.6	35.9	18.2	19.8	20.1	0.088	0.074	0.084	0.289	0.273	0.270	conserved	-0.03747550896
conserved (2189)	Zm00001d014417	329.3	258.3	233.2	171.3	246.0	171.7	214.8	258.3	0.084	0.028	0.073	0.137	0.110	0.138	conserved	-0.5926098511
conserved (2189)	Zm00001d014423	114.9	67.0	95.1	71.7	193.9	100.0	69.4	71.7	0.034	0.061	0.033	0.030	0.025	0.025	conserved	0.09922903816
conserved (2189)	Zm00001d014428	56.5	31.5	44.4	29.7	29.9	25.0	30.6	31.5	0.055	0.073	0.062	0.068	0.093	0.096	conserved	-0.08570077104
conserved (2189)	Zm00001d014438	30.6	30.6	30.5	30.8	28.7	30.3	30.7	30.8	0.063	0.070	0.053	0.070	0.069	0.052	conserved	0.01070998988
conserved (2189)	Zm00001d014442	68.7	46.8	52.4	34.2	51.5	30.5	40.5	46.8	0.074	0.052	0.073	0.073	0.072	0.065	conserved	-0.4502904256
conserved (2189)	Zm00001d014446	10.5	51.0	11.0	45.2	0.0	101.5	48.1	51.0	0.033	0.092	0.032	0.056	0.041	0.040	conserved	-0.1756115699
conserved (2189)	Zm00001d014463	216.0	66.0	413.8	120.2	9.6	10.2	93.1	120.2	0.021	0.039	0.055	0.064	0.067	0.030	conserved	0.8636995321
conserved (2189)	Zm00001d014467	5936.0	481.9	3379.9	668.1	1250.8	60.8	575.0	668.1	0.017	0.019	0.020	0.020	0.012	0.022	conserved	0.4713411794
conserved (2189)	Zm00001d014491	2164.6	485.7	1430.4	816.5	241.8	14.9	651.1	816.5	0.046	0.024	0.033	0.036	0.061	0.067	conserved	0.7493480185
conserved (2189)	Zm00001d014518	15.9	19.8	23.3	36.0	23.9	16.2	27.9	36.0	0.069	0.052	0.033	0.103	0.106	0.124	conserved	0.8608358665
conserved (2189)	Zm00001d014519	192.9	104.8	183.5	119.4	202.3	95.4	112.1	119.4	0.035	0.076	0.026	0.066	0.060	0.063	conserved	0.1892006655
conserved (2189)	Zm00001d014559	59.3	225.2	30.4	321.3	32.3	298.9	273.2	321.3	0.031	0.048	0.042	0.067	0.092	0.074	conserved	0.5128534099
conserved (2189)	Zm00001d014583	13.5	9.4	16.5	4.2	8.4	2.2	6.8	9.4	0.060	0.015	0.074	0.198	0.273	0.227	conserved	-1.166125971
conserved (2189)	Zm00001d014614	36.6	23.8	24.9	29.8	120.3	39.9	26.8	29.8	0.046	0.067	0.030	0.089	0.112	0.089	conserved	0.3268417304
conserved (2189)	Zm00001d014626	23.4	19.2	17.3	21.5	27.5	13.7	20.4	21.5	0.055	0.060	0.093	0.051	0.099	0.043	conserved	0.1621675473
conserved (2189)	Zm00001d014641	10.6	6.8	9.1	11.6	7.2	9.6	9.2	11.6	0.037	0.053	0.033	0.095	0.106	0.092	conserved	0.7652354519
conserved (2189)	Zm00001d014665	23.6	21.9	19.4	13.8	13.8	4.1	17.8	21.9	0.052	0.066	0.033	0.100	0.122	0.122	conserved	-0.6705509794
conserved (2189)	Zm00001d014667	47.6	35.9	24.7	70.1	2.4	12.4	53.0	70.1	0.068	0.053	0.065	0.163	0.152	0.165	conserved	0.9633741079
conserved (2189)	Zm00001d014679	136.0	101.4	102.8	113.9	87.4	81.2	107.7	113.9	0.055	0.033	0.046	0.122	0.089	0.073	conserved	0.168202418
conserved (2189)	Zm00001d014701	54.4	95.8	36.8	68.2	82.0	92.1	82.0	95.8	0.098	0.085	0.060	0.106	0.129	0.095	conserved	-0.4901016672
conserved (2189)	Zm00001d014722	524.3	243.5	331.2	177.8	47.9	49.6	210.6	243.5	0.076	0.062	0.068	0.127	0.167	0.136	conserved	-0.4532589959
conserved (2189)	Zm00001d014732	18.6	15.4	21.6	19.9	19.2	8.6	17.7	19.9	0.081	0.080	0.096	0.055	0.151	0.117	conserved	0.3690196566
conserved (2189)	Zm00001d014772	952.2	605.5	659.1	570.4	496.7	294.1	587.9	605.5	0.021	0.062	0.061	0.077	0.071	0.059	conserved	-0.08620609234
conserved (2189)	Zm00001d014787	6.7	6.8	6.8	5.6	0.0	4.1	6.2	6.8	0.044	0.058	0.061	0.457	0.447	0.488	conserved	-0.2761880147
conserved (2189)	Zm00001d014789	18.0	9.4	32.5	13.4	41.3	4.5	11.4	13.4	0.046	0.079	0.054	0.066	0.120	0.096	conserved	0.5079206263
conserved (2189)	Zm00001d014790	1.7	30.0	2.5	47.9	37.1	55.7	38.9	47.9	0.039	0.032	0.016	0.041	0.029	0.029	conserved	0.6763309968
conserved (2189)	Zm00001d014792	82.2	67.4	77.0	94.7	53.3	37.4	81.1	94.7	0.045	0.092	0.058	0.068	0.125	0.097	conserved	0.4903519396
conserved (2189)	Zm00001d014794	386.4	129.8	89.9	17.6	23.3	8.4	73.7	129.8	0.031	0.080	0.079	0.168	0.156	0.172	conserved	-2.879923772
conserved (2189)	Zm00001d014848	280.2	127.2	259.3	106.9	308.2	74.0	117.0	127.2	0.047	0.090	0.039	0.090	0.055	0.082	conserved	-0.2513286074
conserved (2189)	Zm00001d014862	161.4	153.3	116.6	113.3	56.3	67.2	133.3	153.3	0.047	0.089	0.052	0.103	0.103	0.105	conserved	-0.4366926196
conserved (2189)	Zm00001d014895	701.6	415.2	667.0	255.3	917.4	117.6	335.2	415.2	0.029	0.049	0.054	0.078	0.054	0.079	conserved	-0.7013098327
conserved (2189)	Zm00001d014896	44.8	27.1	53.8	26.3	76.6	18.1	26.7	27.1	0.066	0.077	0.062	0.059	0.089	0.081	conserved	-0.04422571465
conserved (2189)	Zm00001d014898	649.8	390.0	1258.6	324.7	2021.0	62.8	357.4	390.0	0.025	0.087	0.034	0.037	0.045	0.043	conserved	-0.2644032392
conserved (2189)	Zm00001d014901	79.9	51.5	69.2	58.9	74.8	50.8	55.2	58.9	0.032	0.097	0.023	0.078	0.081	0.086	conserved	0.1941269138
conserved (2189)	Zm00001d014912	70.4	56.5	65.3	60.9	21.5	26.3	58.7	60.9	0.061	0.051	0.052	0.122	0.140	0.122	conserved	0.1092239885
conserved (2189)	Zm00001d014949	12.9	21.5	7.6	29.1	23.3	15.6	25.3	29.1	0.065	0.077	0.065	0.079	0.082	0.087	conserved	0.436757873
conserved (2189)	Zm00001d014954	129.4	92.1	139.1	117.6	70.0	95.3	104.9	117.6	0.085	0.065	0.092	0.184	0.092	0.142	conserved	0.3519760333
conserved (2189)	Zm00001d014969	95.7	73.3	97.2	71.0	60.4	53.3	72.1	73.3	0.044	0.072	0.026	0.108	0.088	0.112	conserved	-0.04690213125
conserved (2189)	Zm00001d014974	34.6	34.6	41.5	21.1	61.6	23.3	27.9	34.6	0.045	0.061	0.061	0.070	0.064	0.059	conserved	-0.713512758
conserved (2189)	Zm00001d014986	114.4	81.6	85.3	81.6	39.5	82.5	81.6	81.6	0.060	0.045	0.030	0.067	0.085	0.062	conserved	-0.0008129207346
conserved (2189)	Zm00001d014991	1.9	14.4	1.7	10.9	0.0	10.4	12.7	14.4	0.094	0.099	0.067	0.058	0.093	0.052	conserved	-0.4031768905
conserved (2189)	Zm00001d014993	207.7	140.8	139.3	128.7	11.4	40.9	134.7	140.8	0.014	0.011	0.024	0.074	0.096	0.075	conserved	-0.1301846142
conserved (2189)	Zm00001d014995	29.8	60.3	26.2	67.3	34.7	51.3	63.8	67.3	0.091	0.088	0.056	0.100	0.108	0.111	conserved	0.1585349321
conserved (2189)	Zm00001d015058	22.9	16.8	28.5	18.2	29.3	18.7	17.5	18.2	0.076	0.080	0.037	0.054	0.078	0.053	conserved	0.1174333489
conserved (2189)	Zm00001d015103	23.5	32.6	28.3	21.8	38.3	34.3	27.2	32.6	0.056	0.027	0.057	0.031	0.047	0.035	conserved	-0.5809202151
conserved (2189)	Zm00001d015123	17.7	25.5	15.4	24.4	16.8	26.8	24.9	25.5	0.036	0.078	0.080	0.146	0.180	0.150	conserved	-0.06711500736
conserved (2189)	Zm00001d015125	10.0	18.5	10.4	18.4	15.0	19.5	18.5	18.5	0.081	0.089	0.046	0.080	0.077	0.062	conserved	-0.008585772298
conserved (2189)	Zm00001d015153	186.4	106.5	225.8	137.4	320.8	60.6	121.9	137.4	0.063	0.071	0.082	0.194	0.149	0.155	conserved	0.3676538813
conserved (2189)	Zm00001d015174	105.5	47.8	111.0	53.2	89.8	39.8	50.5	53.2	0.062	0.084	0.059	0.095	0.124	0.122	conserved	0.1535727379
conserved (2189)	Zm00001d015195	59.4	33.8	57.9	43.1	19.7	19.4	38.4	43.1	0.081	0.068	0.035	0.067	0.051	0.061	conserved	0.3491094936
conserved (2189)	Zm00001d015212	13.0	22.2	27.3	18.7	16.8	10.7	20.4	22.2	0.097	0.087	0.070	0.220	0.290	0.215	conserved	-0.2491957644
conserved (2189)	Zm00001d015213	2414.1	1121.6	2033.5	902.4	652.3	37.9	1012.0	1121.6	0.052	0.090	0.028	0.148	0.140	0.149	conserved	-0.3136514655
conserved (2189)	Zm00001d015301	29.2	23.7	26.9	28.2	32.9	11.0	25.9	28.2	0.032	0.045	0.087	0.074	0.088	0.058	conserved	0.2534410246
conserved (2189)	Zm00001d015376	366.0	322.1	374.2	323.2	214.8	294.1	322.6	323.2	0.053	0.027	0.023	0.032	0.051	0.044	conserved	0.004633946579
conserved (2189)	Zm00001d015383	169.7	91.7	255.6	68.6	85.0	25.5	80.1	91.7	0.092	0.064	0.070	0.144	0.142	0.144	conserved	-0.4193588167
conserved (2189)	Zm00001d015400	8.3	54.1	3.1	8.9	3.6	44.7	31.5	54.1	0.049	0.051	0.067	0.094	0.102	0.101	conserved	-2.600827446
conserved (2189)	Zm00001d015423	15.0	13.0	10.0	15.9	6.0	12.8	14.4	15.9	0.097	0.098	0.058	0.221	0.210	0.237	conserved	0.2886583697
conserved (2189)	Zm00001d015431	279.5	168.3	220.3	181.2	200.5	149.5	174.8	181.2	0.047	0.057	0.069	0.108	0.170	0.126	conserved	0.1062642224
conserved (2189)	Zm00001d015459	139.7	36.8	151.4	84.5	16.8	19.4	60.7	84.5	0.052	0.014	0.022	0.080	0.085	0.085	conserved	1.19911784
conserved (2189)	Zm00001d015513	83.0	86.1	80.4	115.2	9.6	34.3	100.6	115.2	0.043	0.021	0.062	0.073	0.126	0.116	conserved	0.4200226319
conserved (2189)	Zm00001d015515	317.1	130.3	196.3	119.9	22.7	11.8	125.1	130.3	0.020	0.021	0.030	0.086	0.059	0.084	conserved	-0.1195176687
conserved (2189)	Zm00001d015546	32.9	23.7	48.8	25.2	43.1	11.8	24.5	25.2	0.052	0.087	0.097	0.128	0.178	0.144	conserved	0.08876917777
conserved (2189)	Zm00001d015585	33.5	36.0	45.2	32.9	68.2	29.7	34.4	36.0	0.057	0.058	0.099	0.067	0.145	0.081	conserved	-0.1293671478
conserved (2189)	Zm00001d015618	267.6	42.5	191.9	58.4	68.8	40.2	50.5	58.4	0.050	0.034	0.026	0.039	0.045	0.025	conserved	0.4600465028
conserved (2189)	Zm00001d015703	11.9	9.6	7.9	13.1	4.2	6.0	11.4	13.1	0.056	0.074	0.093	0.164	0.163	0.146	conserved	0.444408
conserved (2189)	Zm00001d015737	17.6	48.4	7.2	29.1	0.6	3.9	38.8	48.4	0.095	0.084	0.057	0.088	0.123	0.077	conserved	-0.7349234997
conserved (2189)	Zm00001d015767	79.1	20.6	51.4	20.6	7.2	1.9	20.6	20.6	0.056	0.050	0.093	0.291	0.318	0.320	conserved	-0.002451174226
conserved (2189)	Zm00001d015780	21.1	18.9	30.1	17.0	36.5	1.5	17.9	18.9	0.056	0.056	0.066	0.572	0.543	0.546	conserved	-0.1576387244
conserved (2189)	Zm00001d015788	83.1	54.7	64.7	78.2	58.0	37.6	66.4	78.2	0.045	0.031	0.035	0.089	0.096	0.104	conserved	0.5161386912
conserved (2189)	Zm00001d015804	23.6	7.7	29.0	21.1	29.9	4.6	14.4	21.1	0.069	0.048	0.065	0.319	0.348	0.332	conserved	1.459570415
conserved (2189)	Zm00001d015812	5.2	3.2	3.6	4.3	3.6	2.0	3.8	4.3	0.097	0.055	0.053	0.196	0.143	0.158	conserved	0.4243668723
conserved (2189)	Zm00001d015842	88.9	63.8	42.5	76.1	20.9	65.7	70.0	76.1	0.054	0.060	0.084	0.019	0.074	0.023	conserved	0.2549711519
conserved (2189)	Zm00001d015844	78.1	90.1	41.8	48.6	91.6	44.2	69.3	90.1	0.066	0.069	0.073	0.116	0.168	0.120	conserved	-0.8913726016
conserved (2189)	Zm00001d015886	52.2	44.2	62.7	54.9	77.2	23.7	49.6	54.9	0.040	0.050	0.090	0.088	0.095	0.084	conserved	0.3124799974
conserved (2189)	Zm00001d015912	1.9	1.1	1.3	3.6	11.4	1.9	2.4	3.6	0.040	0.045	0.000	0.000	0.000	0.000	conserved	1.72212884
conserved (2189)	Zm00001d015914	8.1	21.1	12.6	30.5	5.4	14.3	25.8	30.5	0.060	0.047	0.017	0.090	0.082	0.077	conserved	0.5307019899
conserved (2189)	Zm00001d015917	68.6	34.5	64.2	53.5	34.1	50.7	44.0	53.5	0.049	0.036	0.048	0.066	0.061	0.052	conserved	0.6331891973
conserved (2189)	Zm00001d016016	5.5	16.3	10.9	32.6	49.1	21.2	24.5	32.6	0.095	0.087	0.061	0.110	0.082	0.048	conserved	0.999092433
conserved (2189)	Zm00001d016070	127.7	58.6	134.0	66.4	46.1	40.5	62.5	66.4	0.035	0.019	0.052	0.089	0.112	0.084	conserved	0.1800726169
conserved (2189)	Zm00001d016077	129.5	86.4	178.0	67.9	456.0	36.2	77.1	86.4	0.037	0.059	0.050	0.083	0.079	0.091	conserved	-0.3482873667
conserved (2189)	Zm00001d016080	30.4	54.7	44.6	65.7	15.6	23.0	60.2	65.7	0.050	0.036	0.020	0.058	0.066	0.066	conserved	0.2639783699
conserved (2189)	Zm00001d016085	5.5	20.6	5.3	9.9	12.0	14.9	15.2	20.6	0.045	0.056	0.095	0.112	0.166	0.125	conserved	-1.063921714
conserved (2189)	Zm00001d016105	52.5	47.1	35.9	60.7	37.1	53.1	53.9	60.7	0.046	0.082	0.060	0.085	0.089	0.093	conserved	0.3650546434
conserved (2189)	Zm00001d016118	2.1	1.7	1.1	1.1	2.4	2.3	1.4	1.7	0.067	0.100	0.067	0.071	0.100	0.071	conserved	-0.5696662984
conserved (2189)	Zm00001d016131	59.6	51.2	86.9	51.8	189.1	36.8	51.5	51.8	0.091	0.090	0.062	0.245	0.253	0.286	conserved	0.01672241795
conserved (2189)	Zm00001d016182	14.4	32.9	15.5	36.8	6.0	20.4	34.9	36.8	0.092	0.073	0.074	0.074	0.106	0.084	conserved	0.1637609928
conserved (2189)	Zm00001d016200	55.0	60.7	83.7	59.6	36.5	38.5	60.2	60.7	0.046	0.030	0.024	0.073	0.053	0.057	conserved	-0.02616003806
conserved (2189)	Zm00001d016203	48.9	36.1	78.5	29.1	104.1	38.6	32.6	36.1	0.077	0.053	0.086	0.084	0.137	0.070	conserved	-0.3131407996
conserved (2189)	Zm00001d016219	12.0	9.9	19.7	20.3	21.5	10.4	15.1	20.3	0.053	0.013	0.058	0.180	0.190	0.192	conserved	1.02725231
conserved (2189)	Zm00001d016311	24.2	24.1	24.5	18.6	22.1	20.0	21.3	24.1	0.049	0.085	0.049	0.096	0.107	0.131	conserved	-0.3786818038
conserved (2189)	Zm00001d016342	17.9	31.5	12.7	68.3	13.2	46.1	49.9	68.3	0.014	0.029	0.032	0.022	0.032	0.030	conserved	1.117344809
conserved (2189)	Zm00001d016347	91.2	45.8	97.6	46.6	80.2	15.6	46.2	46.6	0.087	0.067	0.063	0.069	0.090	0.059	conserved	0.02507456619
conserved (2189)	Zm00001d016349	11.6	4.7	8.0	8.1	9.6	5.8	6.4	8.1	0.035	0.028	0.059	0.051	0.036	0.042	conserved	0.7907223764
conserved (2189)	Zm00001d016379	87.0	45.8	36.2	56.8	12.0	4.1	51.3	56.8	0.031	0.024	0.029	0.118	0.098	0.099	conserved	0.3103087932
conserved (2189)	Zm00001d016408	53.7	231.5	63.1	109.0	1047.3	223.1	170.2	231.5	0.017	0.012	0.032	0.048	0.077	0.055	conserved	-1.086354846
conserved (2189)	Zm00001d016446	677.7	344.5	421.4	425.4	365.7	762.9	385.0	425.4	0.034	0.044	0.052	0.079	0.126	0.091	conserved	0.3042869532
conserved (2189)	Zm00001d016496	82.2	45.8	57.5	37.1	104.7	22.7	41.5	45.8	0.058	0.050	0.068	0.217	0.278	0.237	conserved	-0.3032064251
conserved (2189)	Zm00001d016506	32.8	35.3	28.1	40.4	17.4	20.7	37.8	40.4	0.036	0.066	0.079	0.099	0.124	0.077	conserved	0.1951880091
conserved (2189)	Zm00001d016542	9.8	236.6	18.1	170.7	1.8	223.3	203.7	236.6	0.019	0.061	0.030	0.060	0.040	0.064	conserved	-0.4710988667
conserved (2189)	Zm00001d016549	135.5	146.6	168.2	107.4	199.3	70.0	127.0	146.6	0.048	0.092	0.043	0.057	0.061	0.055	conserved	-0.4491328944
conserved (2189)	Zm00001d016561	165.0	136.0	49.9	145.2	61.6	161.5	140.6	145.2	0.091	0.092	0.031	0.038	0.048	0.044	conserved	0.0942939919
conserved (2189)	Zm00001d016602	54.6	35.6	50.6	28.4	35.3	31.5	32.0	35.6	0.032	0.079	0.054	0.089	0.089	0.073	conserved	-0.3226229882
conserved (2189)	Zm00001d016653	23.5	16.8	21.0	24.3	37.7	12.4	20.5	24.3	0.081	0.081	0.039	0.089	0.078	0.074	conserved	0.5323952687
conserved (2189)	Zm00001d016655	1231.3	277.9	238.9	136.2	271.1	453.3	207.1	277.9	0.046	0.033	0.017	0.008	0.020	0.011	conserved	-1.028424577
conserved (2189)	Zm00001d016661	17.2	11.4	10.1	15.0	2.4	22.2	13.2	15.0	0.027	0.056	0.075	0.088	0.128	0.105	conserved	0.4016587285
conserved (2189)	Zm00001d016696	37.4	14.7	58.9	16.3	29.9	6.9	15.5	16.3	0.035	0.036	0.051	0.068	0.082	0.073	conserved	0.1525990216
conserved (2189)	Zm00001d016719	545.3	201.0	371.8	107.7	31.1	10.3	154.3	201.0	0.014	0.041	0.062	0.035	0.057	0.036	conserved	-0.9000878097
conserved (2189)	Zm00001d016723	47.8	64.0	39.0	36.0	17.4	1.8	50.0	64.0	0.058	0.048	0.035	0.270	0.279	0.258	conserved	-0.8318344368
conserved (2189)	Zm00001d016736	48.6	518.8	97.5	516.3	63.4	762.3	517.5	518.8	0.055	0.048	0.030	0.052	0.066	0.043	conserved	-0.007023642759
conserved (2189)	Zm00001d016764	76.7	17.8	76.0	33.9	14.4	2.1	25.8	33.9	0.038	0.031	0.029	0.123	0.151	0.151	conserved	0.9305662433
conserved (2189)	Zm00001d016797	56.8	50.0	72.1	39.4	44.9	9.3	44.7	50.0	0.034	0.030	0.053	0.190	0.187	0.195	conserved	-0.3429086249
conserved (2189)	Zm00001d016858	8.4	5.7	13.5	6.8	6.6	6.1	6.2	6.8	0.074	0.071	0.076	0.232	0.156	0.174	conserved	0.2585977566
conserved (2189)	Zm00001d016892	24.6	21.1	27.9	19.9	34.1	14.6	20.5	21.1	0.059	0.045	0.083	0.052	0.098	0.052	conserved	-0.08280193353
conserved (2189)	Zm00001d016948	286.2	242.9	217.7	19.8	32.9	15.9	131.3	242.9	0.048	0.021	0.027	0.063	0.040	0.060	conserved	-3.619205485
conserved (2189)	Zm00001d017019	229.1	57.0	82.0	64.6	36.5	23.8	60.8	64.6	0.036	0.030	0.079	0.031	0.082	0.023	conserved	0.1810779272
conserved (2189)	Zm00001d017077	56.0	15.8	21.9	23.8	10.2	19.2	19.8	23.8	0.040	0.087	0.080	0.126	0.190	0.152	conserved	0.5955568288
conserved (2189)	Zm00001d017090	20.6	16.4	18.3	15.9	16.2	10.5	16.1	16.4	0.049	0.045	0.035	0.043	0.048	0.037	conserved	-0.0496584013
conserved (2189)	Zm00001d017091	93.7	77.7	122.1	76.8	115.5	52.3	77.3	77.7	0.046	0.083	0.045	0.057	0.072	0.063	conserved	-0.0169308779
conserved (2189)	Zm00001d017103	72.5	68.9	83.5	73.2	92.2	48.6	71.0	73.2	0.017	0.098	0.091	0.078	0.137	0.084	conserved	0.08708073815
conserved (2189)	Zm00001d017111	38.1	31.2	16.2	52.0	4.2	25.7	41.6	52.0	0.051	0.013	0.033	0.101	0.079	0.093	conserved	0.7349572569
conserved (2189)	Zm00001d017121	223.4	24.9	129.9	27.5	20.3	1.8	26.2	27.5	0.044	0.083	0.071	0.102	0.036	0.063	conserved	0.1451293828
conserved (2189)	Zm00001d017126	45.7	30.0	51.2	37.7	92.8	24.2	33.8	37.7	0.048	0.042	0.035	0.147	0.171	0.182	conserved	0.3271566166
conserved (2189)	Zm00001d017139	136.4	443.6	145.8	403.0	49.7	382.8	423.3	443.6	0.048	0.083	0.021	0.028	0.044	0.037	conserved	-0.1384512313
conserved (2189)	Zm00001d017152	596.7	118.6	619.2	124.3	29.9	12.8	121.5	124.3	0.011	0.039	0.025	0.073	0.086	0.072	conserved	0.06767955531
conserved (2189)	Zm00001d017171	56.4	55.7	57.8	48.5	86.2	43.7	52.1	55.7	0.047	0.048	0.097	0.081	0.061	0.045	conserved	-0.1991858518
conserved (2189)	Zm00001d017172	75.7	57.2	58.0	49.3	56.3	38.1	53.3	57.2	0.019	0.076	0.046	0.077	0.108	0.079	conserved	-0.2149402369
conserved (2189)	Zm00001d017271	109.1	51.1	105.1	67.8	35.9	7.2	59.4	67.8	0.032	0.071	0.063	0.045	0.106	0.077	conserved	0.4059387908
conserved (2189)	Zm00001d017274	237.7	73.3	420.3	161.5	126.9	16.2	117.4	161.5	0.071	0.086	0.052	0.083	0.062	0.100	conserved	1.139016218
conserved (2189)	Zm00001d017275	42.2	36.5	305.8	188.0	15.6	120.5	112.2	188.0	0.014	0.016	0.088	0.110	0.034	0.028	conserved	2.365302068
conserved (2189)	Zm00001d017288	308.5	95.3	313.2	185.4	49.1	19.3	140.3	185.4	0.033	0.037	0.044	0.023	0.052	0.025	conserved	0.959243443
conserved (2189)	Zm00001d017392	36.4	30.6	27.1	37.2	15.6	32.1	33.9	37.2	0.092	0.064	0.083	0.112	0.076	0.084	conserved	0.2833832923
conserved (2189)	Zm00001d017441	14.1	12.9	7.5	14.7	2.4	10.6	13.8	14.7	0.060	0.043	0.075	0.173	0.110	0.194	conserved	0.19121823
conserved (2189)	Zm00001d017455	1583.8	389.6	1141.8	261.2	657.7	46.0	325.4	389.6	0.015	0.024	0.013	0.019	0.021	0.015	conserved	-0.576650944
conserved (2189)	Zm00001d017469	77.8	47.8	58.9	61.6	80.8	38.9	54.7	61.6	0.044	0.033	0.049	0.068	0.036	0.068	conserved	0.3680244764
conserved (2189)	Zm00001d017473	33.0	64.1	37.4	64.6	8.4	26.9	64.3	64.6	0.081	0.083	0.032	0.063	0.058	0.041	conserved	0.009232342742
conserved (2189)	Zm00001d017480	29.9	80.9	120.2	62.7	10.2	18.8	71.8	80.9	0.059	0.043	0.095	0.107	0.072	0.072	conserved	-0.3678159022
conserved (2189)	Zm00001d017523	28.8	33.0	31.5	28.4	28.1	20.7	30.7	33.0	0.095	0.092	0.065	0.092	0.091	0.096	conserved	-0.2141602421
conserved (2189)	Zm00001d017526	619.7	279.7	521.8	380.0	417.1	54.5	329.9	380.0	0.098	0.062	0.042	0.044	0.077	0.061	conserved	0.4420980371
conserved (2189)	Zm00001d017547	531.9	70.1	861.2	53.7	44.9	16.3	61.9	70.1	0.021	0.087	0.089	0.026	0.103	0.022	conserved	-0.3848103947
conserved (2189)	Zm00001d017557	88.9	185.3	75.7	153.6	83.8	150.5	169.4	185.3	0.055	0.030	0.042	0.014	0.055	0.029	conserved	-0.2713000079
conserved (2189)	Zm00001d017649	258.9	54.9	404.5	121.2	200.5	22.3	88.1	121.2	0.063	0.038	0.026	0.026	0.052	0.052	conserved	1.141616323
conserved (2189)	Zm00001d017651	34.5	22.7	46.2	21.8	51.5	6.2	22.3	22.7	0.083	0.070	0.092	0.130	0.139	0.157	conserved	-0.05568913087
conserved (2189)	Zm00001d017657	48.3	35.7	60.9	37.7	6.6	29.7	36.7	37.7	0.097	0.044	0.038	0.090	0.115	0.130	conserved	0.07899902728
conserved (2189)	Zm00001d017769	10.5	17.8	10.6	12.7	9.0	8.4	15.3	17.8	0.070	0.060	0.078	0.051	0.100	0.058	conserved	-0.4921291746
conserved (2189)	Zm00001d017782	1.3	17.0	7.2	60.9	35.3	46.1	38.9	60.9	0.078	0.089	0.032	0.051	0.084	0.078	conserved	1.838493846
conserved (2189)	Zm00001d017823	35.2	32.6	37.8	27.6	18.0	18.2	30.1	32.6	0.059	0.063	0.088	0.112	0.155	0.110	conserved	-0.2407517802
conserved (2189)	Zm00001d017830	34.8	33.0	38.1	38.7	11.4	1.6	35.9	38.7	0.043	0.013	0.052	0.100	0.147	0.100	conserved	0.2267711819
conserved (2189)	Zm00001d017845	39.6	54.7	25.9	58.5	16.2	31.3	56.6	58.5	0.088	0.089	0.041	0.082	0.081	0.085	conserved	0.09680443724
conserved (2189)	Zm00001d017847	140.3	101.9	125.2	105.7	77.2	62.8	103.8	105.7	0.047	0.062	0.080	0.092	0.089	0.083	conserved	0.05309829694
conserved (2189)	Zm00001d017848	33.6	39.9	31.5	33.7	21.5	27.1	36.8	39.9	0.075	0.062	0.076	0.037	0.076	0.062	conserved	-0.2434111544
conserved (2189)	Zm00001d017852	148.5	50.1	225.8	52.1	6.0	11.7	51.1	52.1	0.012	0.028	0.045	0.075	0.088	0.079	conserved	0.0586503656
conserved (2189)	Zm00001d017853	24.7	11.2	18.3	14.8	19.7	10.9	13.0	14.8	0.053	0.081	0.094	0.200	0.204	0.180	conserved	0.4033416403
conserved (2189)	Zm00001d017876	73.2	27.9	73.1	23.0	119.1	8.8	25.5	27.9	0.049	0.071	0.097	0.224	0.194	0.213	conserved	-0.2787162616
conserved (2189)	Zm00001d017905	47.3	31.6	48.5	40.3	70.6	23.9	36.0	40.3	0.077	0.042	0.036	0.083	0.103	0.110	conserved	0.3519117527
conserved (2189)	Zm00001d017951	72.5	24.0	78.1	33.1	6.0	21.0	28.5	33.1	0.054	0.048	0.045	0.089	0.091	0.060	conserved	0.4604136453
conserved (2189)	Zm00001d017958	264.2	85.6	430.6	99.4	260.3	91.5	92.5	99.4	0.011	0.034	0.035	0.028	0.021	0.021	conserved	0.2163690528
conserved (2189)	Zm00001d017967	20.7	27.5	32.1	17.0	34.1	17.3	22.3	27.5	0.073	0.066	0.064	0.070	0.084	0.078	conserved	-0.6944277953
conserved (2189)	Zm00001d017976	3.4	2.1	1.8	12.7	149.6	5.8	7.4	12.7	0.069	0.071	0.091	0.091	0.054	0.071	conserved	2.59001705
conserved (2189)	Zm00001d017987	82.1	72.7	53.5	79.0	7.2	28.1	75.8	79.0	0.066	0.052	0.082	0.100	0.121	0.085	conserved	0.1195020601
